quiz_id,age,genre,title,choice_1,choice_2,choice_3,choice_4,answer,collection
1,昭和,芸能,ジャニーズの人気グループ光GENJIがはいていたのはどれ？,アイススケート,ローラーブレード,ローラースケート,ボウリングシューズ,ローラースケート,0
2,平成,ライフスタイル,次のギャル文字「⊇＠もωﾅﾆ″ﾚヽ￡ヽずす､ｷ″」はいつ使う？,鈴木さんに会うとき,門限がすぎたとき,解けない問題があったとき,頭が痛いとき,解けない問題があったとき,0
3,平成,ライフスタイル,ソニーが発売した「MD」は何の略？,マルチディスク,マグネティックディスク,ミニディスク,マイクロディスク,ミニディスク,0
4,平成,芸能,「だんご３兄弟」の中で「自分が一番」だと思っているのは誰？,長男,次男,三男,四男,次男,0
5,平成,芸能,2002年から放映されたアイフルのCMに登場していたチワワの名前は？,ふぅ～ちゃん,きゅ～ちゃん,みゅ～ちゃん,くぅ～ちゃん,くぅ～ちゃん,1
6,昭和,芸能,視聴率をランキング順に並べたとき、もっとも高いのはどれ？,水戸黄門 第9部,太陽にほえろ,3年B組金八先生 第2シリーズ,男女7人夏物語,水戸黄門 第9部,0
7,昭和,社会,「地球は青かった」と言ったのは誰？,毛利衛,ガガーリン,スプートニク,前澤友作,ガガーリン,0
8,昭和,社会,昭和64年は合計何日ある？,4日,5日,6日,7日,7日,0
9,昭和,ライフスタイル,カラーテレビの登場は昭和何年？,昭和35年,昭和36年,昭和37年,昭和38年,昭和35年,0
10,昭和,エンタメ,この中で昭和の歌姫といえば？,松任谷由美,美空ひばり,西野カナ,JUJU,美空ひばり,0